"REQID","REQID_expanded","annotation_id","annotator","created_at","id","lead_time","sentiment","text","updated_at"
"56000-wikipedia",56000,287,"4","2026-05-27T09:07:03.045341Z",279,10.72,"contextual_auxiliary","Dorothea of Montau, Prussian saint (d.Joan, Princess of Portugal (d.Scipione del Ferro, Italian mathematician (d.Mario Bettinus, Italian philosopher, mathematician and astronomer (d.Bernard of Corleone, Italian saint (d.Antonio Vieira, Portuguese writer (d.Chongzhen, Emperor of China (d.Antoine Arnauld, French theologian, philosopher and mathematician (d.Heiman Dullaart, Dutch painter (d.Johann Casimir Kolbe von Wartenberg, 1st Prime Minister of the Kingdom of Prussia (d.Mustafa II, Ottoman Sultan (d.Anne, Queen of England, Ireland and Scotland (d.Patrick Russell, Scottish surgeon and naturalist (d.Januarius Zick, German painter (d.Franz Xaver Messerschmidt, German-Austrian sculptor (d.Pierre-Joseph Desault, French anatomist and surgeon (d.Adam Weishaupt, German philosopher (d.Evariste de Parny, French poet (d.Aaron Burr, 3rd Vice President of the United States (d.Julian Ursan Niemcewicz, Polish scholar and statesman (d.Ugo Foscolo, Italian writer and poet (d.Joseph van Radowitz, Prussian statesman and general (d.George Arnott Walker-Arnott, Scottish botanist (d.Charles Wheatstone, English physicist and inventor (d.Henry George Liddell, English philologist and lexicographer (d.William M.Evarts, American lawyer and statesman (d.Jenaro Quesada y Matheus, Spanish nobleman and politician (d.John Brown Gordon, 32nd Governor of Georgia (d.Jose Maria de Pereda, Spanish novelist (d.Henry Irving, British actor (d.Inoue Kowashi, Japanese statesman (d.Raimundo Andueza Palacio, 24th President of Venezuela (d.Henry Janeway Hardenbergh, American architect (d.Vasily Safonov, Russian pianist, composer and teacher (d.C.Lloyd Morgan, British psychologist (d.Prince Thomas, Duke of Genoa, Italian prince (d.Wilhelm Cohn, German chess player (d.Nikolay Zelinsky, Russian chemist (d.John Henry Mackay, Scottish thinker and writer (d.Karl Sapper, German explorer and linguist (d.James Braid, Scottish golfer (d.Robert Maillart, Swiss engineer (d.Carl Ramsauer, German physicist (d.Magnus Gudmundsson, Prime Minister of Iceland (d.Edwin Samuel Montagu, British statesman (d.Nishinoumi Kajiro II, Japanese sumo wrestler (d.Dmitry Pavlovich Grigorovich, Russian aircraft designer (d.Josef Frings, German cardinal (d.William P.Murphy, American doctor, won the 1934 Nobel Prize in Physiology or Medicine (d.Muhammad Zaffarullah Khan, Pakistani politician and diplomat (d.Kirpal Singh, Indian religious leader (d.Babe Ruth, American baseball player (d.Alberto Cavalcanti, Brazilian movie director and producer (d.Ben Lyon, American actor (d.Claudio Arrau, Chilean pianist (d.Wladyslaw Gomulka, Polish politician (d.Jan Werich, Czech actor, playwright and writer (d.Michael Maltese, American screenwriter (d.Amintore Fanfani, Prime Minister of Italy (d.Ronald Reagan, 40th President of the United States (d.Eva Braun, wife of Adolf Hitler (d.Mary Leakey, Kenyan archaeologist (d.Thurl Ravenscroft, American voice actor and singer (d.Zsa Zsa Gabor, Hungarian-American actress (d.Carl Neumann Degler, American historian and author (d.Patrick Macnee, British actor (d.Haskell Wexler, American cinematographer, movie producer and director (d.Clifford Darling, Governor-General of the Bahamas (d.Gyula Lorant, Hungarian footballer (d.Billy Wright, English footballer (d.Ivo Garrani, Italian actor (d.Colin Murdoch, New Zealand pharmacist and inventor (d.Sixten Jernberg, Swedish cross-country skier (d.Pierre Brice, French actor (d.Ricardo Vidal, Filipino cardinal (d.Camilo Cienfuegos, Cuban revolutionary (d.François Truffaut, French movie director (d.Donnie Brooks, American pop music singer (d.Jair Rodrigues, Brazilian musician and singer (d.Sarah Brady, American gun control campaigner (d.Bob Marley, Jamaican Reggae musician (d.Kate McGarrigle, Canadian singer and songwriter (d.Bunny Rugs, Jamaican singer (d.Natalie Cole, American singer (d.Timothy M.Simon Phillips, American drummer (d.Frank Jeske, East German footballer (d.Gord Downie, Canadian singer-songwriter, musician, writer and activist (d.Zard, Japanese singer (d.Cara McCollum, American journalist and beauty queen (d.Hojo Tokimasa, Emperor of Japan (b.Jeanne de Bourbon, Queen of France (b.Johannes Ockeghem, Belgian composer (b.Jacques Amyot, French writer (b.Emperor Ogimachi of Japan (b.Christopher Clavius, German mathematician and astronomer (b.Prospero Alpini, Italian scientist (b.Charles II, King of England, Ireland and Scotland (b.Ahmed II, Ottoman Sultan (b.Pope Clement XII (b.Lancelot ""Capability"" Brown, English gardener (b.Carlo Goldoni, Italian playwright (b.Joseph Priestley, English-American theologian, philosopher, chemist and physicist (b.Richard Lemon Lander, English explorer (b.Josef Munzinger, Swiss Federal Councillor (b.Leo von Caprivi, Chancellor of Germany (b.Prince Alfred of Saxe-Coburg Gotha (b.Alfonso Maria Fusco, Italian Roman Catholic priest (b.Ruben Dario, Nicaraguan writer (b.Gustav Klimt, Austrian painter (b.Maria Christina of Austria, Queen of Spain (b.Motilal Nehru, Indian politician (b.Jackson Showalter, American chess player (b.Marianne von Werefkin, Russian-Swiss painter (b.Jaan Soots, Estonian general and politician (b.Georges Imbert, Alsatian chemist (b.George VI, King of the United Kingdom (b.Henri Chrétien, French astronomer, professor and inventor (b.David Pegg, English footballer (b.Tommy Taylor, English footballer (b.Geoff Bent, English footballer (b.Roger Byrne, English footballer (b.Eddie Colman, English footballer (b.Mark Jones, English footballer (b.Frank Swift, English footballer (b.Walter Crickmer, English footballer and manager (b.Emilio Aguinaldo, President of the Philippines (b.Frederika of Hanover, Queen Consort of Greece (b.Hugo Montenegro, American movie music composer (b.Jorge Guillen, Spanish poet (b.Frederick Coutts, Scottish 8th General of the Salvation Army (b.Minoru Yamasaki, American architect (b.Chris Gueffroy, German, last person to die crossing the Berlin Wall (b.Jimmy van Heusen, American composer (b.Salvador Luria, Italian biologist (b.Danny Thomas, American signer, comedian and actor (b.Arthur Ashe, American tennis player (b.Joseph Cotten, American actor (b.Jack Kirby, American comic book writer (b.Guy Madison, American actor (b.Falco, Austrian singer (b.Carl Wilson, American musician (The Beach Boys) (b.Don Dunstan, 35th Premier of South Australia (b.Jimmy Roberts, American tenor (b.Max Perutz, Austrian molecular biologist (b.James Whitmore, American actor (b.John Dankworth, British jazz musician (b.Josefa Iloilo, 3rd President of Fiji (b.Gary Moore, Northern Irish musician (b.Antoni Tapies, Catalan artist (b.Janice E.Voss, American astronaut (b.Chokri Belaid, Tunisian lawyer and politician (b.Stuart Freeborn, British make-up artist (b.Ralph Kiner, American baseball player (b.Marisa Del Frate, Italian actress (b.Alan Nunnelee, American politician (b.Assia Djebar, Algerian novelist, translator and filmmaker (b.André Brink, South African writer (b.Kathrine Windfeld, Danish movie director (b.Norm Drucker, American basketball player (b.Dan Hicks, American singer-songwriter (b.Robin Chandler Duke, American social advocate and diplomat (b.Birte Tove, Danish actress (b.Eddy Wally, Belgian singer (b.Boy Asistio, Filipino politician (b.Ritchie Yorke, Australian-English author and broadcaster (b.José Gea Escolano, Spanish archbishop (b.Roger Walkowiak, French cyclist (b.Irwin Corey, American actor and comedian (b.Joost van der Westhuizen, South African rugby player (b.Inge Keller, German actress (b.Alec McCowen, English actor (b.Ivar Aronsson, Swedish rower (b.Neil Gehrels, American astronomer (b.Djelloul Khatib, Algerian independence activist and politician (b.Raymond Smullyan, American mathematician and philosopher (b.John Perry Barlow, American writer, songwriter and internet activist (b.Liliana Bodoc, Argentine author (b.Jao Tsung-I, Chinese-Hong Kong scholar (b.Joe Knollenberg, American politician (b.Madavoor Vasudevan Nair, Indian dancer (b.","2026-05-27T09:07:03.045352Z"
"20171",8279,288,"4","2026-05-27T09:07:19.581993Z",280,16.209,"requirement","NPAC SMS shall send an appropriate error message to the originating user if the originating user is neither the New nor the Old Service Provider in the existing Subscription Version upon Subscription Version cancellation.","2026-05-27T09:07:19.582004Z"
"5484",4959,289,"4","2026-05-27T09:07:35.291092Z",281,15.327,"requirement","It should, however, be a table with no relationships to the enterprises.","2026-05-27T09:07:35.291104Z"
"3982",3544,290,"4","2026-05-27T09:07:44.498633Z",282,8.865,"contextual_auxiliary","a) Road user and toll rates.b) Transit fares adjusted concomitant with tolls.c) Time of day usage pricing (i.e.off hour rates).","2026-05-27T09:07:44.498644Z"
"20718",8839,291,"4","2026-05-27T09:07:58.719601Z",283,13.877,"requirement","The system should also allow the user to select any sold items, adding pictures as needed, to be included in the „Great and Gone‟ section, even if they were not part of previous week‟s e-Blast.","2026-05-27T09:07:58.719612Z"
"2994",2774,292,"4","2026-05-27T09:08:18.753444Z",284,19.698,"requirement","A set of traits (such as name, DOB, gender, etc.may be used by a locator service to perform a probabilistic match.","2026-05-27T09:08:18.753454Z"
"41405",29856,293,"4","2026-05-27T09:08:30.508838Z",285,11.429,"contextual_auxiliary","If we want to develop a system that ""supports sales"" and also make it attractive to dealers, we should also think of their requirements) Salesmen controlling is out of scope.","2026-05-27T09:08:30.508848Z"
"3598",3281,294,"4","2026-05-27T09:08:39.820056Z",286,8.773,"requirement","The PCA pump shall continue to infuse for 10 minutes during interruption of mains electricity supply using battery backup  either continuously or spread over an hour.","2026-05-27T09:08:39.820074Z"
"19286",7360,295,"4","2026-05-27T09:08:46.337077Z",287,6.071,"requirement","All analogue measured values should have readable properties like ‘signal quality’ and ‘scanning rate’.","2026-05-27T09:08:46.337088Z"
"27393",16155,296,"4","2026-05-27T09:09:29.654265Z",288,42.985,"requirement","The code should be written in a way that it favors implementation of new functions.","2026-05-27T09:09:29.654275Z"
"27",76,297,"4","2026-05-27T09:09:52.285945Z",289,22.272,"system_related_auxiliary","A project created via the LOAD RTM function may be in either “trace” or “assess” mode.","2026-05-27T09:09:52.285958Z"
"43804-wikipedia",43804,298,"4","2026-05-27T09:09:58.619433Z",290,5.96,"contextual_auxiliary","Now, Takeru Shiba, the youngest head of the Shiba Clan must gather his four Vassal in order to battle the Gedoushu under the revived Doukoku Chimatsuri as the Shinkengers.","2026-05-27T09:09:58.619444Z"
"2827",2600,299,"4","2026-05-27T09:10:11.677856Z",291,12.714,"requirement","System will allow to search for a LHCP entering a last name or partial last name and optionally reduce the list of choices by providing the specialty and/or zip code.","2026-05-27T09:10:11.677867Z"
"17260-wikipedia",17260,300,"4","2026-05-27T09:10:24.342685Z",292,12.315,"contextual_auxiliary","The next day, Ana finds out that Christian may have recently contacted his BDSM dominant and ex-lover Elena Lincoln.","2026-05-27T09:10:24.342695Z"
"41206-wikipedia",41206,301,"4","2026-05-27T09:10:29.612507Z",293,4.894,"contextual_auxiliary","It will take place between 19 January and 2 February 2024 in Gangwon, South Korea.","2026-05-27T09:10:29.612520Z"
"59683-wikipedia",59683,302,"4","2026-05-27T09:10:36.474670Z",294,6.524,"contextual_auxiliary","American mortgage lender, philanthropist and power broker (b.Marina Ratner, Russian-American mathematician (b.Kenneth Silverman, American biographer (b.William Dunlop, Northern Irish motorcyclist (b.Hacène Lalmas, Algerian footballer (b.Levko Lukyanenko, Ukrainian politician (b.Firuz Mustafayev, Azerbaijani politician and former Prime minister of Azerbaijan (b.San Fermín festival in Pamplona, northern Spain: the bull run takes place.","2026-05-27T09:10:36.474681Z"
"41095",29494,303,"4","2026-05-27T09:10:48.637777Z",295,11.709,"contextual_auxiliary","The target country (e.g.Netherlands) can differ from the salesman country (e.g.Italy).To be clarified: on which country data should pricing take place?","2026-05-27T09:10:48.637790Z"
"72527-wikipedia",72527,304,"4","2026-05-27T09:10:54.240442Z",296,5.239,"contextual_auxiliary","This means that someone must think about their own life and its purpose.","2026-05-27T09:10:54.240454Z"
"43501",32072,305,"4","2026-05-27T09:11:04.908001Z",297,10.342,"system_related_auxiliary","Usage is attached to billable items (products/services/items) and rated according to agreed contracts.","2026-05-27T09:11:04.908014Z"
"33855",19254,306,"4","2026-05-27T09:11:23.795497Z",298,18.486,"requirement","MSK DMG2 was pressed and commanded:   MSK command MFDj_TTH_COMMAND = ""DMG_1"" or ""DMG_2"" (j = 1|2|3|4|5)   Set arinc label         MTCMFD14_MTCM_DMGx_FEAS_MFD_FMT_SEL to ""TRUE""  (Pilot)   (X = 1|2),         MTCMFD_MTCM_DMGx_FEAS_MFD_FMT_SEL to ""TRUE""    (Copilot)  (X = 1|2)  - The LSK commanding and LSK label display shall be performed as under    DMG availability: see requirements: MTC-SRS-DMG-8400, MTC-SRS-DMG-8401 and                                  MTC-SRS-DMG-8402.NOTE: If DMGx becomes available again the standard configuration sequence will be        performed, no further actions are necessary.","2026-05-27T09:11:23.795509Z"
"35080",21187,307,"4","2026-05-27T09:11:42.615528Z",299,18.37,"requirement","MM_DISPLAY_GUIDANCE_DATA: Fill database in MFD: Transmit screen center of secondary guidance When filling the points data base in MFD and when no primary guidance mode is sent to the MFD, with each secondary guidance mode, the MTC shall send a screen center for this secondary guidance with the MTCM_NAVD_SCRN_CTR_x words to the MFD.For routes, the screen center shall be the center defined in the route record, for the other guidance modes the screen center shall be the guidance end point.","2026-05-27T09:11:42.615539Z"
"3690",663,308,"4","2026-05-27T09:12:27.217554Z",300,44.257,"requirement","The LHCP chooses to schedule an appointment with a patient (it is assumed that the LHCP and patient have already worked out the details of the appointment in person or via telephone outside of the system).The LHCP enters the patient MID, selects the type of appointment from a pull-down menu of the existing appointment types, enter the appointment date and start time (only a date/time equal or after the current date/time is allowed) (the user interface shall provide both the option of typing in a specific date in the date format and the option of selecting a date from a calendar for the current month), enter comment (optional) up to 1000 characters such as reason for the appointment [E1].","2026-05-27T09:12:27.217566Z"
"55911-wikipedia",55911,309,"4","2026-05-27T09:12:49.163734Z",301,21.599,"contextual_auxiliary","A combination of backup media may be the best course; for instance, backing up currently used files to Flash Drives or Micro Drives, and keeping seldom used files on DVD or CD.that snapbacks are back.","2026-05-27T09:12:49.163746Z"
"38680",26042,310,"4","2026-05-27T09:12:58.770991Z",302,9.197,"requirement","If the vehicle is locked, the BCM must unlock the locks and the central locking adopt the status ""internally locked"" when an HDF radio command is received.","2026-05-27T09:12:58.771006Z"
"44446-wikipedia",44446,311,"4","2026-05-27T09:13:04.784027Z",303,5.682,"contextual_auxiliary","It enhances their energy and ability to remain awake at will.","2026-05-27T09:13:04.784039Z"
"11466",12727,312,"4","2026-05-27T09:13:42.407422Z",304,37.262,"contextual_auxiliary","p>         if (log.log.trace(""Unmarshalled bytes: "" + Arrays.p>Using Arrays.toString() is Ok for most cases but if the serialized version is too big, it'd be hard to read trace logs.p>Instead, you should prob use a similar method to the one used by the HotRod/Memcached or when lazy deserialization is used where I call o.i.u.","2026-05-27T09:13:42.407432Z"
"43312",31641,313,"4","2026-05-27T09:13:48.060243Z",305,5.159,"requirement","The UMTS / GPRS Backup must be activated automatically by the router in case of disruption of the primary access.","2026-05-27T09:13:48.060255Z"
"18894",6968,314,"4","2026-05-27T09:13:55.651120Z",306,7.227,"requirement","Allowing users to see and change profiles: if user-specified profiles are used, users should be able to see, modify and delete that profile on demand.","2026-05-27T09:13:55.651132Z"
"18812",6886,315,"4","2026-05-27T09:14:02.972973Z",307,6.958,"requirement","The System must allow the user to limit access to cases to specified users or user groups.","2026-05-27T09:14:02.972985Z"
"21182",9306,316,"4","2026-05-27T09:14:23.064650Z",308,19.581,"system_related_auxiliary","To conclude, all needed software invoked by the frontend is included in PeaZip packages (available under suitable licenses, as open source or royalty free) so no custom package is needed to be installed to make PeaZip work (with the possible exception of some standard gtk/gdk related libraries needed to run PeaZip, Gwrap and Pea binaries, which may be missing in some computer systems, but are well known, trustable and widely available).","2026-05-27T09:14:23.064672Z"
"34111",19673,317,"4","2026-05-27T09:14:42.981751Z",309,19.429,"system_related_auxiliary","MTCM_FEAS_TOT_SEGMENTS 0 Sets the total number of segments to zero initially MTCM_FEAS_UNFEAS_REASON NOTHING Blanks the feasibility reason field MTCM_FEAS_REM_DIST_VAL FALSE Blanks the remaining distance field MTCM_FEAS_PNR_VAL FALSE Blanks the PNR time-to-go field and the PNR distance-to-go field MTCM_FEAS_FUEL_MARGIN_VAL FALSE Blanks the fuel margin field MTCM_FEAS_REM_FUEL_VAL FALSE Blanks the remaining fuel field MTCM_FEAS_REM_EET_VAL FALSE Blanks the remaining EET field MTCM_FEAS_UNFEAS_POINT_VAL FALSE Blanks the unfeasibility point field MTCM_FEAS_CUR_PAGE_NR 1 Sets the current page number to 1   MTCM_FEAS_TOT_PAGE_NR 1 Sets the total number of pages to 1  TMS-SRS-FEAS-47979 Req.","2026-05-27T09:14:42.981767Z"
"38180-wikipedia",38180,318,"4","2026-05-27T09:14:51.993778Z",310,8.488,"contextual_auxiliary","The soils are shallow and often are above large sheets of laterite (ironstone) and a thick profile of strongly leached rocks.","2026-05-27T09:14:51.993789Z"
"23465",11965,319,"4","2026-05-27T09:15:07.090830Z",311,14.742,"contextual_auxiliary","Since command line of wcc386 differs from gcc very much, we may follow the “Watcom style”.perhaps the best option is -elf.","2026-05-27T09:15:07.090843Z"
"8663-wikipedia",8663,320,"4","2026-05-27T09:15:13.055622Z",312,5.616,"contextual_auxiliary","Marshall is a city in Lyon County, Minnesota, United States.","2026-05-27T09:15:13.055634Z"
"37194",24402,321,"4","2026-05-27T09:15:26.579949Z",313,13.18,"system_related_auxiliary","Front wiper service position function is enabled if cod_Wipe_FrontServicePosition is TRUE.","2026-05-27T09:15:26.579960Z"
"19289",7363,322,"4","2026-05-27T09:15:35.682384Z",314,8.723,"requirement","It should be possible to group both analogue and binary values so they can be read in a single transaction.","2026-05-27T09:15:35.682397Z"
"25381",13980,323,"4","2026-05-27T09:15:50.246408Z",315,14.025,"contextual_auxiliary","MTRB will assist in the following: • Identifying and prioritizing transportation research needs • Interacting with other organizations that conduct and support research • Advocating the value of research to improve Michigan’s transportation system • Promoting an exchange of information, ideas, and knowledge • Helping to set the direction for annual research programs • Evaluating annual progress Stakeholders in DUAP-enhanced transportation system operations are almost entirely the same as those involved in the current state of operations as noted above.","2026-05-27T09:15:50.246419Z"
"19192",7263,324,"4","2026-05-27T09:16:02.493176Z",316,11.727,"requirement","To describe the newly defined specification, the simulation environment should provide an abstract high level scripting language thus providing an interpreter.","2026-05-27T09:16:02.493187Z"
"45984-wikipedia",45984,325,"4","2026-05-27T09:16:09.297239Z",317,6.449,"contextual_auxiliary","In 2001 there were 883 people living in Knodishall.","2026-05-27T09:16:09.297257Z"
"24913",13430,326,"4","2026-05-27T09:16:56.623543Z",318,46.959,"requirement","Closed User Groups (CUGs) may be employed by railways as an additional security measure.to prevent members of the public calling drivers and drivers calling members of the public).","2026-05-27T09:16:56.623555Z"
"13480-wikipedia",13480,327,"4","2026-05-27T09:17:05.652394Z",319,8.605,"contextual_auxiliary","Caroline asked him to remarry on her deathbed, to which he replied ""No, I shall only have mistresses"" or in French, ""Non, j'aurai seulement des maîtresses!in tears.","2026-05-27T09:17:05.652405Z"
"6944-wikipedia",6944,328,"4","2026-05-27T09:17:12.713007Z",320,6.579,"contextual_auxiliary","Later, other scientists disagreed about whether any species should be called Hyla palliata.","2026-05-27T09:17:12.713017Z"
"55041-wikipedia",55041,329,"4","2026-05-27T09:17:25.370776Z",321,12.325,"contextual_auxiliary","For businesses who had made more than $1 billion, their turnover must have dropped by 50%.Businesses pay the Jobseeker money to their staff, instead of their usual wages.","2026-05-27T09:17:25.370786Z"
"33904",19339,330,"4","2026-05-27T09:17:36.325160Z",322,10.591,"requirement","If once data is entered in this field and then CLR and ENTER keys are used,  the parameter on the DKU area should return in template display.","2026-05-27T09:17:36.325172Z"
"23280",11722,331,"4","2026-05-27T09:17:49.697494Z",323,13.028,"system_related_auxiliary","So, in general case deployment of the ported library should not be a problem.library can be linked statically, the drawback of this approach will be an increased size of the library.to satisfy to a number of requirements.","2026-05-27T09:17:49.697505Z"
"33998",19485,332,"4","2026-05-27T09:18:24.166459Z",324,34.104,"system_related_auxiliary","Routes which have an odd number of points will still send an even number of routepoints but the last one will be redundant and contain no meaningful data.nPts = number of routepoints in the route m = number of messages is roundup (nPts / 2) n = current message number in range[1.m]  For n= [1.m] send MT message  MTCC_DMGx_WRK_BLOCK_COUNT = (m - n) MTCC_DMGx_WRK_BYTE_COUNT = if n <m then 0 else [if nPts is an even number then 62 else 38) MTCC_DMGx_WRK_ROUTE_NO = 0 MTCC_DMGx_WRK_NO_ENTRY_RT = nPts * MTCC_DMGx_WRK_NXT_WP_SELECT = WP_SEL_MUST_NOT MTCC_DMGx_WRK_ROUTE_NAME = ROUTE_NAME  MTCC_DMGx_WRK_SYM_ID_1 = WPT_FLY_OVER MTCC_DMGx_WRK_SYM_SIZE_1 = MIDDLE MTCC_DMGx_WRK_SYM_COLOR_1 = YELLOW MTCC_DMGx_WRK_SYM_NAME_1 = SYM_NAME_1 MTCC_DMGx_WRK_SYM_FIL_1 = NOT_FILLED MTCC_DMGx_WRK_RTE_PNT_LAT_1 calculated from RTE_PNT_1 MTCC_DMGx_WRK_RTE_PNT_LG_1 calculated from RTE_PNT_1 MTCC_DMGx_WRK_MOCA_LEG1 = -9999  MTCC_DMGx_WRK_SYM_ID_2 = WPT_FLY_OVER MTCC_DMGx_WRK_SYM_SIZE_2 = MIDDLE MTCC_DMGx_WRK_SYM_COLOR_2 = YELLOW MTCC_DMGx_WRK_SYM_NAME_2 = SYM_NAME_2 MTCC_DMGx_WRK_SYM_FIL_2 = NOT_FILLED MTCC_DMGx_WRK_RTE_PNT_LAT_2 calculated from RTE_PNT_2 MTCC_DMGx_WRK_RTE_PNT_LG_2 calculated from RTE_PNT_2 MTCC_DMGx_WRK_MOCA_LEG2 = 0     Guidance ROUTE_NAME   SYM_NAME_1   RTE_PNT_1   Direct_to,  DIREC TO  “”    IRSM_OPTIMAL_POS   Trans_down, TRASDOWN   “T.DN”   Descent point of MM  Course_to,  CRSE TO  “”   MM_CT_END_POS  Course_from,  CRSE FR  “”   MM_CF_END_POS  auto_appr AUTOAPPR  MM_AAP_TAAP_NAME MM_AAP_TAAP_POS    mark_on_target n/a   n/a   n/a    pattern  n/a   n/a   n/a   Guidance SYM_NAME_2    RTE_PNT_2   Direct_to,  MM_DT_POINT_ID note 1 MM_DT_POINT_POS     Trans_down, MM_TD_POINT_ID  MM_TD_POINT_POS    Course_to,  MM_CT_POINT_ID note 1 MM_CT_POINT_POS Course_from,  MM_CF_POINT_ID note 1 MM_CF_POINT_POS auto_appr MM_AAP _NAME  MM_AAP_POS     mark_on_target n/a     n/a    pattern  n/a    n/a       Note 1: if guidance is active part of a combined guidance with attached autonomous approach then SYM_NAME_2 = “T.","2026-05-27T09:18:24.166470Z"
"1801",1532,333,"4","2026-05-27T09:19:03.587544Z",325,39.071,"contextual_auxiliary","This should include, but is not limited to the following: coronary disease, sudden death.","2026-05-27T09:19:03.587556Z"
"25013-wikipedia",25013,334,"4","2026-05-27T09:19:11.647512Z",326,7.665,"contextual_auxiliary","Faculty and staff have won many awards for excellence.","2026-05-27T09:19:11.647524Z"
"18836-wikipedia",18836,335,"4","2026-05-27T09:19:19.564789Z",327,7.567,"contextual_auxiliary","Every band lives in its own territory and one band of monkeys will not enter the territory of another band.","2026-05-27T09:19:19.564800Z"
"15479-wikipedia",15479,336,"4","2026-05-27T09:19:30.944388Z",328,11.023,"contextual_auxiliary","Marble city should be established with stable electricity so resolve the current power failure problems.","2026-05-27T09:19:30.944400Z"
"34288",20126,337,"4","2026-05-27T09:19:43.427452Z",329,12.046,"system_related_auxiliary","EWS_ACK_<cmd>_DCM and MTCC_EWS_CMD_<cmd> retain their values  -- through the power glitch, for all commands (this is represented  -- at Statemate level by info-flows EWS_LAST_EWS_CMD_INFO_DIOM and  -- DIOM_LAST_EWS_CMD_INFO_EWS).","2026-05-27T09:19:43.427465Z"
"40483",28215,338,"4","2026-05-27T09:19:51.824758Z",330,8.034,"contextual_auxiliary","However, the data from Augsburg should not be planned by the Munich branch.","2026-05-27T09:19:51.824770Z"
"9346-wikipedia",9346,339,"4","2026-05-27T09:20:02.569687Z",331,10.394,"contextual_auxiliary","It was also recommended that a Candidatus list should be established in the International Journal of Systematic and Evolutionary Microbiology.","2026-05-27T09:20:02.569698Z"
"5424",4905,340,"4","2026-05-27T09:20:22.406726Z",332,19.414,"system_related_auxiliary","separated from the Gaia-X Federation Services.service: the Gaia-X Federation Service Providers, the Gaia-X Authority and operators of the service.consists of a web, application and database tier as well as an identity and access management.components of these is not excluded in principle and may be examined in a later phase of Gaia-X.","2026-05-27T09:20:22.406737Z"
"29783-wikipedia",29783,341,"4","2026-05-27T09:20:29.962114Z",333,7.226,"contextual_auxiliary","With a Foreword by Francine Klagsburn, The Jewish Publication Society, Philadelphia 1995.The Poems of Emma Lazarus,        Vol.","2026-05-27T09:20:29.962125Z"
"79047-wikipedia",79047,342,"4","2026-05-27T09:20:39.497209Z",334,9.181,"contextual_auxiliary","One is in the Book of Common Prayer (1662).The other is in Common Worship (2000).From thence he shall come to judge the quick and the dead.","2026-05-27T09:20:39.497221Z"
"43245",31529,343,"4","2026-05-27T09:20:56.007304Z",335,27.742,"system_related_auxiliary","The standard implemented dunning procedure as for mobile customers has to work accordingly for Internet Access customers if not stated otherwise in the requirements #260-#263.","2026-05-27T09:20:56.007314Z"
"36690",23543,344,"4","2026-05-27T09:21:45.980661Z",336,53.065999999999995,"contextual_auxiliary","The menu navigation described in the text will be checked and, if necessary, implemented in later iterations (after iteration 2).","2026-05-27T09:21:45.980672Z"
