SRS,id,text,label,y_pred,y_probas,error_type,inspection_label,error_characterization,inspection_note
NTP,108154,The NPT should enable the Node Managers to customize the way GBIF-compliant data are served to their own community or to a specific group of data users.,auxiliary,requirement,0.996762514,FP,requirement,plausible_omitted_requirement,States that NPT should enable node managers to customize how data are served; this is a system capability with modal force.
NTP,108177,- Green: NPT V1.0 must have this feature,auxiliary,requirement,0.996442616,FP,contextual_auxiliary,genuine_model_overprediction,Legend/priority marker explaining what green means; the concrete feature is not specified in this segment.
NTP,108178,- Yellow: NPT V1.0 should have this feature if at all possible,auxiliary,requirement,0.996632755,FP,contextual_auxiliary,genuine_model_overprediction,Legend/priority marker explaining what yellow means; it does not state a concrete system behavior by itself.
NTP,108194,This section lists the different actors NPT instances shall interact with: end users (primary actors) and actors from which the system needs assistance to satisfy a goal (secondary actors).,auxiliary,requirement,0.996143162,FP,contextual_auxiliary,genuine_model_overprediction,Introduces a section listing actors and dependencies; mainly document structure/context rather than a specific requirement.
NTP,108200,"Administrators should have skills in system administration, database management and deployment of Web applications.",auxiliary,requirement,0.996757448,FP,contextual_auxiliary,genuine_model_overprediction,"Describes expected administrator skills, not behavior or constraints of the software system."
NTP,108201,They should also have basic knowledge of Web-based GIS.,auxiliary,requirement,0.648196042,FP,contextual_auxiliary,genuine_model_overprediction,"Describes user knowledge expectations, not a system requirement."
NTP,108203,Data managers should have basic knowledge of taxonomy and biodiversity data.,auxiliary,requirement,0.996456087,FP,contextual_auxiliary,genuine_model_overprediction,"Describes data manager domain knowledge, not a system capability or constraint."
NTP,108209,Other data source types may be provided as modules in the future.,auxiliary,requirement,0.991570115,FP,system_related_auxiliary,genuine_model_overprediction,Mentions possible future module support but is non-committal and design-oriented rather than a required behavior.
NTP,108493,"In addition, NPT developers should provide the possibility to consume services and functions that are created elsewhere.",requirement,auxiliary,0.899969637,FN,contextual_auxiliary,original_label_overinclusive_or_non_requirement,"The subject is NPT developers rather than the system; under the guide, development/provider statements are not automatically requirements."
NTP,108538,- Maintenance mode: the mode the system switches to when achieving certain operations that may prevent to deliver a satisfactory experience to the user in particular when the index may be inconsistent.,auxiliary,requirement,0.658469081,FP,contextual_auxiliary,genuine_model_overprediction,Defines maintenance mode and its context; it does not impose a specific system obligation.
NTP,108555,A user may only initiate the use cases in this section if he is logged into the system using a user account with administrator role.,auxiliary,requirement,0.996444881,FP,requirement,plausible_omitted_requirement,Defines an access-control precondition for initiating use cases; this is a verifiable system constraint.
NTP,108591,Post conditions The distribution map will use the projection and default extent the administrator chose.,auxiliary,requirement,0.996807575,FP,requirement,plausible_omitted_requirement,Post-condition states how the distribution map will use selected projection and extent; this is expected system behavior.
NTP,108596,The administrator enters the default extent and selects the projection that will be used by the distribution map from the list.,auxiliary,requirement,0.996124923,FP,system_related_auxiliary,genuine_model_overprediction,Use-case step describing administrator input; the main subject is user action rather than a system obligation.
NTP,108632,"Depending on the roles the administrator associates with those accounts, the users may be allowed to access restricted back end functionalities.",auxiliary,requirement,0.996393383,FP,requirement,plausible_omitted_requirement,Specifies role-based access to restricted back-end functions; this is an access-control capability/constraint.
NTP,108653,The system requests the security officer to select the security roles this user account will be associated with.,auxiliary,requirement,0.996766448,FP,requirement,plausible_omitted_requirement,States that the system requests role selection from the security officer; this is observable system behavior.
NTP,108659,A user may only initiate the use cases in this section if he is logged into the system using a user account with data manager role.,auxiliary,requirement,0.99650842,FP,requirement,plausible_omitted_requirement,Defines a login and role precondition for initiating use cases; this is a verifiable access-control constraint.
NTP,108733,The visitor enters the request parameters that will be used to query GBIF portal API.,auxiliary,requirement,0.996767282,FP,system_related_auxiliary,genuine_model_overprediction,Use-case step describing visitor input parameters; not phrased as a required system behavior.
NTP,108751,"During next harvesting job, no occurrence records will be harvested from this data source.",auxiliary,requirement,0.996109188,FP,requirement,plausible_omitted_requirement,States that no occurrence records will be harvested from a data source in the next job; this is expected system behavior.
NTP,108837,The system informs the data manager that the process may be long and that an email will be sent to him upon completion.,auxiliary,requirement,0.989612401,FP,requirement,plausible_omitted_requirement,States that the system informs the data manager and sends email upon completion; this is observable behavior.
NTP,108873,A user may only initiate the use cases in this section if he is logged into the system using an account with portal manager role.,auxiliary,requirement,0.996515393,FP,requirement,plausible_omitted_requirement,Defines a login/account-role precondition; this is a system access-control constraint.
NTP,109018,The system warns visitor that the process may take up to half an hour.,auxiliary,requirement,0.995807767,FP,requirement,plausible_omitted_requirement,States that the system warns the visitor about process duration; this is observable system behavior.
NTP,109028,"If the user does, the system will remember and the use case resumes at step c.",auxiliary,requirement,0.996598661,FP,requirement,plausible_omitted_requirement,Conditional statement says the system will remember and resume the use case; this is expected behavior.
NTP,109097,A visitor may only initiate the use cases in this section if he is logged into the system as a registered visitor.,auxiliary,requirement,0.996489942,FP,requirement,plausible_omitted_requirement,Defines login status as a precondition for visitors initiating use cases; this is an access-control constraint.
NTP,109132,BR1 Visitors must accept the portal data usage agreement before being allowed to export data from the portal.,auxiliary,requirement,0.996994376,FP,requirement,plausible_omitted_requirement,BR1 states visitors must accept the data usage agreement before export; this is a clear verifiable requirement.
RMOS,111365,The primary audience of this SRS document will be the development team employed to implement the specified RMOS.,auxiliary,requirement,0.996692061,FP,contextual_auxiliary,genuine_model_overprediction,Identifies the SRS audience; it does not specify system behavior or constraints.
RMOS,111438,The payment system should be operable such that it can return information to the RMOS system as to whether payment was successful or failed.,auxiliary,requirement,0.996792972,FP,requirement,plausible_omitted_requirement,Specifies that the payment system should return success/failure information to RMOS; this is an interface behavior.
RMOS,111446,"Users will summon their restaurant menu, which is combined with a system/command menu, using an easy touch gesture, a double-tap on the touch surface, and dismiss it with a similar gesture or by tapping a close button GUI element.",auxiliary,requirement,0.996536732,FP,requirement,plausible_omitted_requirement,Describes the menu interaction gesture and dismissal behavior expected by users; this is a UI capability.
RMOS,111447,"The GUI will take a small percentage of the table's screen, so the UI will be clear and uncluttered.",auxiliary,requirement,0.996385813,FP,requirement,plausible_omitted_requirement,Specifies GUI size and clarity constraints; this is a UI quality/property requirement.
RMOS,111449,This UI will be designed for use with a stylus input into the touch-screen.,auxiliary,requirement,0.996582568,FP,requirement,plausible_omitted_requirement,Specifies that the UI will be designed for stylus/touch-screen input; this is an interface constraint.
RMOS,111450,"Because the number of operations the UI needs to support is relatively limited, there will be no nested menu structure.",auxiliary,requirement,0.951196134,FP,requirement,plausible_omitted_requirement,States that there will be no nested menu structure due to limited operations; this is a UI design constraint.
RMOS,111451,"The UI shall provide simple graphical interfaces, similar to a map, to allow the user to select tables/customers as the target of operations.",auxiliary,requirement,0.9977054,FP,requirement,plausible_omitted_requirement,Uses shall and specifies UI behavior for selecting table/customer targets; this is a clear system requirement.
RMOS,111454,"The UI will display the list of items in large, easy-to-read text, sorted by time of submission with additional information (such as dietary requirements and the destination table) displayed in tabulated format.",auxiliary,requirement,0.9967134,FP,requirement,plausible_omitted_requirement,"Specifies display content, readability, sorting, and tabulation behavior for the UI."
RMOS,111458,All three devices must be physically robust and immune to liquid damage and stains.,auxiliary,requirement,0.990607262,FP,requirement,plausible_omitted_requirement,Specifies physical robustness and immunity constraints for devices.
RMOS,111462,"All order and transaction records should be stored on the server, not these computers.",auxiliary,requirement,0.996745348,FP,requirement,plausible_omitted_requirement,States where order and transaction records should be stored; this is a data storage constraint.
RMOS,111466,The RMOS will interface with a Database Management System (DBMS) that stores the information necessary for the RMOS to operate.,auxiliary,requirement,0.996437192,FP,requirement,plausible_omitted_requirement,Specifies an RMOS interface with a DBMS needed for operation; this is an external interface requirement.
RMOS,111467,"The DBMS must be able to provide, on request and with low latency, data concerning the restaurant's menu, employees (and their passwords) and available dietary requirements.",auxiliary,requirement,0.996992707,FP,requirement,plausible_omitted_requirement,"Specifies DBMS capability and latency constraints for providing menu, employee, password, and dietary data."
RMOS,111469,This data will include records of all orders and transactions (system states and state changes) executed by the RMOS.,auxiliary,requirement,0.996685565,FP,requirement,plausible_omitted_requirement,"Specifies required data content, including orders, transactions, states, and state changes."
RMOS,111470,"The DBMS must store all data such that it can be used for accounting, as well as accountability.",auxiliary,requirement,0.996972442,FP,requirement,plausible_omitted_requirement,States that the DBMS must store data for accounting and accountability; this is a data retention/use constraint.
RMOS,111471,The RMOS will interface with a Local Area Network (LAN) to maintain communication with all its devices.,auxiliary,requirement,0.996074319,FP,requirement,plausible_omitted_requirement,Specifies that RMOS will interface with a LAN to maintain device communication; this is an interface requirement.
RMOS,111472,It should use a reliable-type IP protocol such as TCP/IP or reliable-UDP/IP for maximum compatibility and stability.,auxiliary,requirement,0.991371512,FP,requirement,plausible_omitted_requirement,States that a reliable IP protocol should be used for compatibility and stability; this is a technical constraint.
RMOS,111473,"All devices it will interface with should contain standard Ethernet compatible, software accessible LAN cards to maintain communication between the server and the surface computers, tablets, displays and the external payment system.",auxiliary,requirement,0.995291471,FP,requirement,plausible_omitted_requirement,Specifies required Ethernet-compatible LAN cards for devices interfacing with the system.
RMOS,111474,"Devices that are wireless should also use Ethernet compatible cards, using the IEEE 802.11b/g standard and having support for WPA2-PSK encryption.",auxiliary,requirement,0.762171268,FP,requirement,plausible_omitted_requirement,Specifies wireless device communication standards and encryption support; this is a hardware/network constraint.
RMOS,111476,The memory usage of the RMOS will obviously have to be constrained by the devices it is intended to run on.,auxiliary,requirement,0.793998837,FP,requirement,plausible_omitted_requirement,States that RMOS memory usage must be constrained by target devices; this is a resource constraint.
RMOS,111483,The server must be able to operate unattended indefinitely.,auxiliary,requirement,0.996960819,FP,requirement,plausible_omitted_requirement,States the server must operate unattended indefinitely; clear verifiable operational requirement.
RMOS,111485,"Backup and recovery should be handled by the DBMS and operating system, or external software running on a timed backup system.",auxiliary,requirement,0.996852458,FP,requirement,plausible_omitted_requirement,Specifies how backup and recovery should be handled; this is an operational/recovery constraint.
RMOS,111486,Interaction from the RMOS should not be required.,auxiliary,requirement,0.994450986,FP,requirement,plausible_omitted_requirement,States that RMOS interaction should not be required; this is a constraint on recovery/operation.
RMOS,111487,"Since stateful data should not be stored on any of the devices other than the server, keeping a system image on the server for each device may be a sufficient operational method to facilitate restoration should a device become corrupted.",auxiliary,requirement,0.919873118,FP,requirement,plausible_omitted_requirement,Contains mandatory storage constraint and a possible restoration method; requirement-like despite mixed wording.
RMOS,111495,"Some customisation of RMOS software elements may be required, including:",auxiliary,requirement,0.996491969,FP,contextual_auxiliary,genuine_model_overprediction,Introductory fragment leading into a list of customizations; it does not specify a complete behavior or constraint.
RMOS,111500,The users of the tablets and displays are waiters and chefs respectively and they should be able to use the system and further be able to train others with minimal training themselves.,auxiliary,requirement,0.972188711,FP,requirement,plausible_omitted_requirement,States users should be able to use the system and train others with minimal training; this is a usability/training constraint.
RMOS,111501,They must be able to explain all elements of the user interfaces except the server.,auxiliary,requirement,0.993847072,FP,contextual_auxiliary,genuine_model_overprediction,States what people must be able to explain; it concerns user/staff knowledge rather than system behavior.
RMOS,111503,This class of user would be expected to have a junior high-school certificate education or equivalent.,auxiliary,requirement,0.924590468,FP,contextual_auxiliary,genuine_model_overprediction,Describes expected user education level; background/context rather than a system requirement.
RMOS,111507,"The software should not be needlessly complex, but it is still expected not to be entirely 'plug and play'.",auxiliary,requirement,0.99107939,FP,requirement,plausible_omitted_requirement,Specifies desired complexity/usability property of the software; vague but still a system quality constraint.
RMOS,111509,"The RMOS should be written in an object-oriented language with strong GUI links and a simple, accessible network API.",auxiliary,requirement,0.995977998,FP,requirement,plausible_omitted_requirement,Specifies implementation language/interface/API constraints for RMOS.
RMOS,111511,"The system must provide a capacity for parallel operation and system design should not introduce scalability issues with regard to the number of surface computers, tablets or displays connected at any one time.",auxiliary,requirement,0.99390465,FP,requirement,plausible_omitted_requirement,Specifies parallel operation capacity and scalability constraints.
RMOS,111512,"The end system should also allow for seamless recovery, without data loss, from individual device failure.",auxiliary,requirement,0.996872008,FP,requirement,plausible_omitted_requirement,Specifies seamless recovery without data loss from device failure; clear reliability requirement.
RMOS,111513,There must be a strong audit chain with all system actions logged.,auxiliary,requirement,0.996997476,FP,requirement,plausible_omitted_requirement,States that all system actions must be logged in a strong audit chain; clear security/audit requirement.
RMOS,111517,"If the system is down, then customers must not notice, or notice that the system recovers quickly (seconds).",auxiliary,requirement,0.990307868,FP,requirement,plausible_omitted_requirement,Specifies recovery visibility and timing expectations during system downtime; availability requirement.
RMOS,111518,"The system must be reliable enough to run crash and glitch free more or less indefinitely, or facilitate error recovery strong enough such that glitches are never revealed to its end-users.",auxiliary,requirement,0.996037483,FP,requirement,plausible_omitted_requirement,Specifies reliability and error-recovery expectations to avoid end-user visible glitches.
RMOS,111519,The SRS assumes that none of the constituent system components will be implemented as embedded applications.,auxiliary,requirement,0.994960904,FP,contextual_auxiliary,genuine_model_overprediction,States an assumption about implementation as embedded applications; it is contextual rather than a required behavior.
RMOS,111522,The surface computers employed by the system should facilitate being utilised/left on for extended periods (sufficient for daily use) and that they are programmable in the same fashion as x86 architecture computers.,auxiliary,requirement,0.996194839,FP,requirement,plausible_omitted_requirement,Specifies surface computer endurance and programmability expectations; hardware/platform constraint.
RMOS,111605,Y07 A waiter that attempts to log into a second tablet while already logged into,requirement,auxiliary,0.977106988,FN,requirement,segmentation_or_parsing_issue,"Segment appears to be the beginning of a requirement/use-case condition but is truncated, making the error likely caused by segmentation."
RMOS,111731,Trigger Exceptional circumstances arise and the supervisor must abort the meal,auxiliary,requirement,0.774075627,FP,contextual_auxiliary,genuine_model_overprediction,Use-case trigger describing an exceptional circumstance; not a system obligation by itself.
RMOS,111738,Trigger Exceptional circumstances arise and the supervisor must abort the account,auxiliary,requirement,0.996954203,FP,contextual_auxiliary,genuine_model_overprediction,Use-case trigger describing a supervisor action; not a standalone system requirement.
RMOS,111747,Trigger Exceptional circumstances arise and the supervisor must refund the payment,auxiliary,requirement,0.995489895,FP,contextual_auxiliary,genuine_model_overprediction,Use-case trigger describing a refund circumstance; not a standalone system requirement.
RMOS,111849,An Item that is part of an order may contain a dietary requirement.,auxiliary,requirement,0.994686365,FP,system_related_auxiliary,genuine_model_overprediction,Describes a domain/data model association involving dietary requirement as an entity; not a required system behavior.
RMOS,111857,"An Order will typically be deleted shortly after it has been approved and its Items added to the customer's Meal, tying the Items in the Order to an Account.",auxiliary,requirement,0.996359885,FP,system_related_auxiliary,genuine_model_overprediction,Describes typical lifecycle/data-model behavior; phrasing is explanatory rather than a clear obligation.
RMOS,111864,This class represents a physical table at which a customer may be seated and its integrated surface computer.,auxiliary,requirement,0.993722737,FP,system_related_auxiliary,genuine_model_overprediction,"Describes what a class represents in the model; architectural/design description, not a requirement."
RMOS,111865,"If the represented table is activated, an Account will be associated with the Table.",auxiliary,requirement,0.996778309,FP,requirement,plausible_omitted_requirement,Conditional association of an Account with an activated Table describes expected system/data behavior.
RMOS,111872,It may also be associated with any number of Alerts that can be sent to it by the system.,auxiliary,requirement,0.984855473,FP,system_related_auxiliary,genuine_model_overprediction,Describes possible class association with alerts; data-model description rather than mandatory behavior.
RMOS,111968,"Because there is not an actual client for this assignment, the elicitation phase will consist of the team brainstorming possible functionality from the ﾒclientﾕsﾓ point of view.",auxiliary,requirement,0.994004667,FP,contextual_auxiliary,genuine_model_overprediction,Explains project/elicitation context for an assignment; not a system requirement.
RMOS,111969,The elicited requirements will be based primarily on the research previously conducted into existing computerised restaurant systems.,auxiliary,requirement,0.996533632,FP,contextual_auxiliary,genuine_model_overprediction,"Explains how elicited requirements will be based on research; process context, not system behavior."
RMOS,111970,"During the analysis phase, team members will take the derived requirements and transform them into a constant, thorough and complete set of requirements.",auxiliary,requirement,0.99655211,FP,contextual_auxiliary,genuine_model_overprediction,Describes team analysis activity; process context rather than system requirement.
RMOS,111973,Details of the specification will be finalised and all requirements and diagrams will be collated and organised into a single coherent Software Requirements Specification document.,auxiliary,requirement,0.995008945,FP,contextual_auxiliary,genuine_model_overprediction,Describes document finalization and organization; not a system requirement.
KIB3,113219,The specialists and managers required for this transformation process must be trained early.,auxiliary,requirement,0.996714354,FP,contextual_auxiliary,genuine_model_overprediction,"States that specialists and managers must be trained; this concerns people/training, not the software system."
KIB3,113312,"Basic The Python programming environment shall run in a safe manner, i.e., users shall not be able to execute malicious code. DONE",requirement,auxiliary,0.736371279,FN,requirement,genuine_model_miss,States the Python environment shall run safely and block malicious code; clear security/safety requirement.
KIB3,113331,Basic Functional Integrating the English language beside German only for the software interface is a nice functionality to have.     DONE,requirement,auxiliary,0.997827828,FN,requirement,genuine_model_miss,Describes a desired interface capability: integrating English beside German; requirement-like despite weak wording.
KIB3,113335,"The following types of questions must be supported by the test module of the learning platform: Changing the order of the question types, Standard question types, Calculated, calculated multi-choice, calculated simple, Drag and drop into text, Drag and drop markers, Drag and drop onto image, Description, Essay, Matching, Embedded Answers (Cloze Test / Gap Fill), Multiple Choice, Short Answer, Numerical and Random short-answer matching.       DONE",requirement,auxiliary,0.97778827,FN,requirement,genuine_model_miss,States the question types that must be supported by the test module; clear functional requirement.
KIB3,113397,"For the search functionality to work, a PDF file with (almost) the same name as the Moodle book must be present in the course, with each PDF page aligning one-to-one with the book pages.",auxiliary,requirement,0.934209406,FP,requirement,plausible_omitted_requirement,Specifies a precondition/constraint for search functionality: a matching PDF file must be present and aligned.